artifact	claim_id	role	evidence_status	paper_use
haetae-topdown-easycrypt/post-freeze/Mode2ChallengeROMProgrammingPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/Mode2ConcreteHonestProgrammedSigningFreshnessPostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2ConcreteHonestProgrammedSigningOraclePostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2ConcreteHonestProgrammedSigningQueryOraclePostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2ConcreteHonestSigningBadGamePostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2ConcreteHonestSigningLogOraclePostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2ConcreteHonestSigningTranscriptPostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2DecomposeZ1CanonicalPostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityAccumulatorJointCouplingPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityAccumulatorUpperHeadroomPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityActualAccumulatorContextBridgePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityActualAccumulatorUpperPrefixTransportPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedKeygenDecisionExhaustionMonotonicityPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedKeygenDecisionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedKeygenDefectAccumulationPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedKeygenExhaustionBoundPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedKeygenFuelPrefixPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedKeygenZeroFuelBridgePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedRetryTailExhaustionMonotonicityPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedRetryTailPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedRetryTailSmallProjectionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityBoundedRetryTailSuccDecompositionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityCheckedPublicKeySourcePostFreeze.ec	S3-PUBLIC-KEY-NMA	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityCheckedRetryStepCorrectnessPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityCheckedRetryStepPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityCheckedSourceLosslessPostFreeze.ec	S3-PUBLIC-KEY-NMA	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityExpandVecAPostFreeze.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityExpandVecARowWitnessPostFreeze.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityExpandVecASeedBridgePostFreeze.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityFirstAttemptDecisionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityFirstRejectTailEntryPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealAccumulatorAllSlotCoordinateP8CertificatePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealAccumulatorPushforwardPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealAccumulatorUpperPrefixComponentP8CertificatePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealEtaByteLawPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealEtaPolynomialLawPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealEtaVectorLawPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2AccumulatorSlotP8TraceHeadroomCertificatePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2AccumulatorSlotP8UnionLimitationPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2AccumulatorSlotTailPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2AccumulatorSlotUnionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ArrayBiasDecompositionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2BiasFFTBoundPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2CenteredMoment56PostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ConditionalProductLawPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2MomentLawPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentCertifiedRootPowerTablePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentClassSensitiveProfilePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentFixedClassTraceP8CertificateCheckerPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentProfileBoundPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentRootIntervalClassProfilePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentRootIntervalKernelPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentTailPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentUniformLimitationPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTEighthMomentZeroSeedAcceptedTraceCertificatePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTFourthMomentPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTMoment356PostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualFFTMomentBoundPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityIdealFinalS2ResidualRowProjectionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityInitializedNMAViewPostFreeze.ec	S3-PUBLIC-KEY-NMA	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityKeygenPaperLiftPostFreeze.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityKeygenRelationPostFreeze.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityKeygenViewPostFreeze.ec	S3-PUBLIC-KEY-NMA	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityNMAViewAdapterPostFreeze.ec	S3-PUBLIC-KEY-NMA	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityRawSeedDistributionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityRetryEtaProgressPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecurityRetryTailInvariantPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledBoundedKeygenExhaustionMonotonicityPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledBoundedKeygenMassPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledCheckedSourcePostFreeze.ec	S3-PUBLIC-KEY-NMA	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledDSeedJointGapPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledFirstAttemptAccumulatorDistributionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledFirstAttemptAccumulatorProbabilityPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledFirstAttemptDSeedScoreTailPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledFirstAttemptMassPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledFirstAttemptRejectCertificatePostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledFirstAttemptScoreDistributionPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2FaithfulSecuritySampledProgressMassPostFreeze.ec	C3-QUANTITATIVE-KEYGEN	theory	PROVED-CONDITIONAL	HEADLINE-CONDITIONAL
haetae-topdown-easycrypt/post-freeze/Mode2RawSignOutputWitnessPostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/SignChallengeM23AbsorbComponentsPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/SignChallengeM23CarrierBridgePostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/SignChallengeM23HighbufPositionPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/SignChallengeM23SamplerBridgePostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/SignCoreChallengeTracePostFreeze.ec	S2-SIGN-ROM	theory	PROVED-SUPPORT	SUPPORT-ONLY
haetae-topdown-easycrypt/post-freeze/VerifyAcceptedChallengeXofCardinalityPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyActualAcceptChallengeEqualityRawPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyActualAcceptChallengeWeightPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyActualAcceptMismatchRawPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyActualChallengeAlgebraBridgePostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyActualChallengeSupportPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyActualFullAcceptApiRawPostFreeze.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyActualFullAcceptRawPostFreeze.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyActualFullFunctionalRawPostFreeze.ec	C1-FAITHFUL-REFINEMENT	theory	PROVED-SLICE	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeAbsorbStatePostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeM23FixedAcceptedSamplerPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeM23FlatAcceptedStepPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeM23ProbabilisticSamplerPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeM23RejectionIndexPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeM23SamplerStructurePostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeM23SqueezeStreamPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeM23StreamSamplerPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
haetae-topdown-easycrypt/post-freeze/VerifyChallengeM23SubsetBinomialPostFreeze.ec	C2-CHALLENGE-MODEL	theory	PROVED-WITH-BOUNDARY	HEADLINE-WITH-LEDGER-BOUNDARY
