claim_id,claim,specification_location,easycrypt_location,jasmin_location,status,evidence,blocking_note
KEYGEN-M2-SAMPLER-XOF,Mode 2 key-generation sampler SHAKE paths,N/A,easycrypt/extract/keygen-uniform-xof/KeygenUniformXofTarget.ec;easycrypt/extract/keygen-eta-xof/KeygenEtaXofTarget.ec;easycrypt/extract/keygen-sampler-callers/KeygenSamplerCallersTarget.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec;easycrypt/spec/KeygenUniformXofLeafSpec.ec;easycrypt/refinement/TargetKeygenUniformXofLeaf.ec;easycrypt/spec/KeygenEtaSamplerSpec.ec;easycrypt/refinement/TargetKeygenEtaSampler.ec;easycrypt/spec/KeygenKeccak1600Spec.ec;easycrypt/refinement/TargetKeygenKeccak1600.ec;easycrypt/spec/KeygenShakeStreamSpec.ec;easycrypt/refinement/TargetKeygenShakeStream.ec;easycrypt/spec/KeygenSeedXofSpec.ec;easycrypt/refinement/TargetKeygenSeedXof.ec,keypair.jazz:73-180;keypair.jazz:554-1021;polynomial_sampler.jinc:1-77;polynomial_sampler.jinc:187-329,PARTIAL,docs/11-target-keygen-sampler-consumers.md,Exact seed expansion finite SHAKE-to-decoder composition range and functional-array frames are machine-checked and the proof-only actual-parent prefix composes all 13 calls with certificate-conditioned probability-one termination; universal certificates distributions source-pointer safety and dataflow through actual _keypair_full_m23 retry/downstream control remain open
KEYGEN-M2-UNIFORM-XOF,Mode 2 key-generation SHAKE128 uniform-sampler leaf extraction,N/A,easycrypt/extract/keygen-uniform-xof/KeygenUniformXofTarget.ec:813-976,keypair.jazz:73-125;keypair.jazz:320-374;keypair.jazz:554-724;polynomial_sampler.jinc:1-38;polynomial_sampler.jinc:268-329,VERIFIED,scripts/verify-keygen-uniform-xof-extract.sh,Only the two reachable polynomial leaf kernels are extracted; caller dimensions nonce schedules output layout and upstream seed expansion are outside this module
KEYGEN-M2-UNIFORM-XOF-TARGET,Mode 2 key-generation SHAKE128 rejection-sampler correctness,HAETAE_v260204.pdf Figure 8 KeyGen expandA,easycrypt/spec/KeygenUniformXofLeafSpec.ec;easycrypt/refinement/TargetKeygenUniformXofLeaf.ec;easycrypt/spec/KeygenSamplerCallersSpec.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec;easycrypt/spec/KeygenShakeStreamSpec.ec;easycrypt/refinement/TargetKeygenShakeStream.ec,keypair.jazz:73-125;keypair.jazz:320-374;keypair.jazz:554-724;keypair.jazz:841-935,REFINEMENT_PENDING,docs/11-target-keygen-sampler-consumers.md,Whole-leaf and actual matrix and vector caller finite-stream range frame and certificate-conditioned totality results are machine-checked; the proof-only parent prefix connects the expanded rho slice to six matrix and two vector calls while universal certificates distributions source-pointer safety and semantic composition with actual _keypair_full_m23 remain open
KEYGEN-M2-ETA-XOF,Mode 2 key-generation SHAKE256 eta-sampler leaf extraction,N/A,easycrypt/extract/keygen-eta-xof/KeygenEtaXofTarget.ec:871-929,keypair.jazz:127-179;keypair.jazz:376-471;keypair.jazz:781-839;polynomial_sampler.jinc:40-77;polynomial_sampler.jinc:187-266,VERIFIED,scripts/verify-keygen-eta-xof-extract.sh,Only the reachable 2048-word eta leaf is extracted; seedsk slicing retry nonce scheduling output layout and upstream seed expansion are outside this module
KEYGEN-M2-ETA-XOF-TARGET,Mode 2 key-generation SHAKE256 eta rejection-sampler correctness,HAETAE_v260204.pdf Figure 8 KeyGen expandS,easycrypt/spec/KeygenEtaSamplerSpec.ec;easycrypt/refinement/TargetKeygenEtaSampler.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec;easycrypt/spec/KeygenKeccak1600Spec.ec;easycrypt/refinement/TargetKeygenKeccak1600.ec;easycrypt/spec/KeygenShakeStreamSpec.ec;easycrypt/refinement/TargetKeygenShakeStream.ec,keypair.jazz:127-179;keypair.jazz:376-471;keypair.jazz:781-972,REFINEMENT_PENDING,docs/11-target-keygen-sampler-consumers.md,The exact eta consumer leaf and actual eta vector caller are connected to finite SHAKE256 decoded prefixes with centered range frames and certificate-conditioned totality; the proof-only parent prefix connects the expanded eta slice to five first-attempt slots while universal certificates distributions source-pointer safety and actual retry control remain open
KEYGEN-SAMPLER-CALLERS,Parameterized key-generation sampler caller and seed-expansion extraction,N/A,easycrypt/extract/keygen-sampler-callers/KeygenSamplerCallersTarget.ec:1302-1469,keypair.jazz:841-1021,VERIFIED,scripts/verify-keygen-sampler-callers-extract.sh,The three caller loops and _kp_expand_seedbuf plus their closures are one zero-drift 25-file 31-procedure target; mode-2 parent composition and retry logic remain outside this extraction while CheckedMode2UniformPair and CheckedMode2EtaPair are authored proof-only wrappers
KEYGEN-SAMPLER-CALLERS-SCHEDULE,Parameterized sampler-caller schedule encoding and mode-2 arithmetic,N/A,easycrypt/spec/KeygenSamplerCallersSpec.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec,keypair.jazz:841-972,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,Relative orchestration and mode-2 arithmetic are checked together with exact finite-stream range and frame contracts through all three actual callers; bounded consumers terminate unconditionally but caller totality upstream seed identity source-pointer safety and actual _keypair_full_m23 composition remain open
KEYGEN-SAMPLER-UNIFORM-VECTOR,Uniform agen vector caller exact finite stream range and aggregate byte frame,N/A,easycrypt/spec/KeygenSamplerCallersSpec.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec,keypair.jazz:894-935,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,For every k from zero through eight the actual generated vector caller gives each slot its own exact finite SHAKE128 decoded-prefix witness bounds all selected coefficients below 64513 and preserves every byte outside the selected prefix; upstream seed provenance source-pointer safety termination and distributions remain open
KEYGEN-SAMPLER-UNIFORM-MATRIX,Uniform matrix caller exact finite stream range and aggregate byte frame,N/A,easycrypt/spec/KeygenSamplerCallersSpec.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec,keypair.jazz:841-892,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,For nonnegative dimensions with rows times cols at most 32 the actual generated matrix caller gives each cell its own exact finite SHAKE128 decoded-prefix witness bounds all selected coefficients below 64513 and preserves every byte outside the selected prefix; upstream seed provenance source-pointer safety termination and distributions remain open
KEYGEN-M2-UNIFORM-PAIR-WRAPPER,Proof-only mode-2 uniform matrix and vector composition,N/A,easycrypt/spec/KeygenSamplerCallersSpec.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec,keypair.jazz:1160-1162,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,The authored CheckedMode2UniformPair invokes the actual matrix and vector callers with dimensions two and three over one raw BArray128 and composes stream range and frames; the newer proof-only parent prefix connects the expanded rho slice and proves certificate-conditioned caller totality while actual _keypair_full_m23 semantics independence and distributions remain open
KEYGEN-SAMPLER-UNIFORM-CONSUMERS,Uniform rejection consumers and whole-leaf exact finite-stream coefficient bounds destination frames and certificate-conditioned totality,N/A,easycrypt/spec/KeygenUniformXofLeafSpec.ec;easycrypt/refinement/TargetKeygenUniformXofLeaf.ec,keypair.jazz:320-374;keypair.jazz:554-724;polynomial_sampler.jinc:268-329,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,For both array sizes the exact first 672-byte consumers exact 168-byte continuation consumers and complete actual leaf streams preserve the accepted strict-below-64513 prefix with counter at most 256 and destination frame; finite consumers terminate unconditionally and both actual leaves terminate with probability one under exact bounds plus uniform_progress_prefix while universal certificate existence caller totality and distributions remain open
KEYGEN-SAMPLER-ETA-CONSUMER,Finite eta exact block decoder helper arithmetic counter centered interval and destination frame,N/A,easycrypt/spec/KeygenEtaSamplerSpec.ec;easycrypt/refinement/TargetKeygenEtaSampler.ec,keypair.jazz:376-471;polynomial_sampler.jinc:187-266,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,Centered-residue helpers are exact and eta_consume2048_block136 implements strict-below-243 acceptance five low-to-high centered digits and the exact 256-value cap while preserving the signed prefix counter and frame; eta_consume2048_ll proves unconditional finite-consumer termination while whole-leaf termination is separately certificate-conditioned and distributions remain open
KEYGEN-SAMPLER-ETA-LEAF,Eta 2048-word whole-leaf exact finite stream centered range outside-block word frame and certificate-conditioned totality,N/A,easycrypt/spec/KeygenEtaSamplerSpec.ec;easycrypt/refinement/TargetKeygenEtaSampler.ec,keypair.jazz:781-839,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,On termination under the seed-slice and destination-capacity bounds eta2048_leaf_stream composes the exact padded SHAKE256 state and actual offset-zero overwrite loop through the capped decoder while separate theorems prove centered coefficients and frame; eta2048_leaf_progress_ll proves probability-one termination under exact seed base capacity and slice premises plus eta_progress_prefix while universal certificate existence caller totality and distributions remain open
KEYGEN-SAMPLER-ETA-VECTOR,Eta vector caller exact finite stream centered range and outside-vector word frame,N/A,easycrypt/spec/KeygenSamplerCallersSpec.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec,keypair.jazz:937-972,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,For every nonnegative capacity-safe count and therefore count zero through eight the actual generated caller gives each slot an exact finite SHAKE256 decoded-prefix witness returns a centered vector and preserves every word outside it on termination; upstream seed identity source-pointer safety termination and distribution remain open
KEYGEN-M2-ETA-PAIR-WRAPPER,Proof-only paired mode-2 eta attempt composition,N/A,easycrypt/spec/KeygenSamplerCallersSpec.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec,keypair.jazz:1164-1173,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,The authored CheckedMode2EtaPair wrapper invokes the actual extracted eta vector caller with counts three and two over one input seed array and checks the modular W64 five-slot nonce schedule plus the returned next nonce word; it is not _keypair_full_m23 and proves no upstream seed identity actual retry loop termination losslessness distribution singular rejection or egen-b0 adjustment
KEYGEN-SAMPLER-SHAKE128-INIT,Specialized key-generation SHAKE128 initializer target-functional framing,N/A,easycrypt/spec/KeygenShakeStreamSpec.ec;easycrypt/refinement/TargetKeygenShakeStream.ec;easycrypt/extract/keygen-sampler-callers/KeygenSamplerCallersTarget.ec:838-891,keypair.jazz:73-125,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,The zero state 32 seed bytes two little-endian nonce bytes domain separator and final rate bit are modeled exactly and shake128_init_seedbuf_padded_state exports equality with the exact short-message padded byte state; the proof-only parent prefix connects the rho slice while actual _keypair_full_m23 dataflow universal progress certificates and distributions remain open
KEYGEN-SAMPLER-SHAKE256-INIT,Specialized key-generation SHAKE256 initializer target-functional framing,N/A,easycrypt/spec/KeygenShakeStreamSpec.ec;easycrypt/refinement/TargetKeygenShakeStream.ec;easycrypt/extract/keygen-sampler-callers/KeygenSamplerCallersTarget.ec:892-944,keypair.jazz:127-179,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,The zero state 64 seed bytes two little-endian nonce bytes domain separator and final rate bit are modeled exactly and shake256_init_seedbuf_padded_state exports equality with the pinned FIPS202 short-message padded byte state; the proof-only parent prefix connects the eta slice while actual retry dataflow universal progress certificates and distributions remain open
KEYGEN-SAMPLER-SQUEEZE-BLOCKS,SHAKE128 and SHAKE256 bounded consecutive state output and frame,N/A,easycrypt/spec/KeygenKeccak1600Spec.ec;easycrypt/spec/KeygenShakeStreamSpec.ec;easycrypt/refinement/TargetKeygenKeccak1600.ec;easycrypt/refinement/TargetKeygenShakeStream.ec;easycrypt/extract/keygen-sampler-callers/KeygenSamplerCallersTarget.ec:657-722,polynomial_sampler.jinc:1-77,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,shake128_seedbuf_blocks and shake256_seedbuf_blocks prove bounded actual-call sequences and named corollaries recover canonical contracts while shake128_seedbuf_four_blocks specializes the uniform prelude; squeeze128_ll and squeeze256_ll prove each actual squeeze call terminates unconditionally while arbitrary infinite-stream and caller termination distributions and source-pointer safety remain open
KEYGEN-SAMPLER-UNIFORM-PRELUDE,Actual uniform-leaf four-block SHAKE128 prelude first-consumer handoff and certificate-conditioned totality,N/A,easycrypt/extract/keygen-sampler-callers/KeygenSamplerCallersTarget.ec:1079-1242;easycrypt/spec/KeygenUniformXofLeafSpec.ec;easycrypt/refinement/TargetKeygenUniformXofLeaf.ec;easycrypt/refinement/TargetKeygenShakeStream.ec;easycrypt/spec/KeygenShakeStreamSpec.ec,keypair.jazz:554-724;polynomial_sampler.jinc:268-329;polynomial_sampler.jinc:451-503,VERIFIED,scripts/verify-keygen-sampler-callers-proof.sh,Under the 32-byte seed bound both actual leaves establish the iter4 state flat 672-byte prefix and exact first-consumer accepted prefix; complete recurrence and decoder composition are exported by uniform2048_leaf_stream and uniform8192_leaf_stream while the progress pHoare theorems prove probability-one termination under uniform_progress_prefix; universal certificate existence caller totality and distributions remain open
KEYGEN-M2-SAMPLER-CALLERS-TARGET,Mode 2 expandA expandS and seed expansion correctness,HAETAE_v260204.pdf Figure 8 KeyGen expandA and expandS,easycrypt/spec/KeygenSamplerCallersSpec.ec;easycrypt/refinement/TargetKeygenSamplerCallers.ec;easycrypt/spec/KeygenUniformXofLeafSpec.ec;easycrypt/refinement/TargetKeygenUniformXofLeaf.ec;easycrypt/spec/KeygenEtaSamplerSpec.ec;easycrypt/refinement/TargetKeygenEtaSampler.ec;easycrypt/spec/KeygenKeccak1600Spec.ec;easycrypt/refinement/TargetKeygenKeccak1600.ec;easycrypt/spec/KeygenShakeStreamSpec.ec;easycrypt/refinement/TargetKeygenShakeStream.ec;easycrypt/spec/KeygenSeedXofSpec.ec;easycrypt/refinement/TargetKeygenSeedXof.ec,keypair.jazz:841-1021;keypair.jazz:1123-1215,PARTIAL,scripts/verify-keygen-sampler-callers-proof.sh,Caller schedules exact finite streams ranges frames seed expansion and slices are machine-checked and the proof-only actual-parent composition uses their bounds to reach canonical pointwise HAETAE finalization with certificate-conditioned probability-one termination; universal certificates distributions actual _keypair_full_m23 retry and downstream control pointer safety singular rejection and full mode-2 security composition remain open
KEYGEN-M2-PARENT-EXTRACTION,Actual mode-2 key-generation parent extraction,N/A,easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:2483-2601,keypair.jazz:1123-1215;keypair.jazz:1305-1319,VERIFIED,scripts/verify-keygen-mode2-parent-extract.sh,Exact internal mode-2 entry closure has zero drift across 32 files and 56 procedures and compiles 32/32 with -no-eco; this is extraction only and proves no semantic parent theorem or termination claim
KEYGEN-M2-PARENT-SAMPLER-PREFIX,Proof-only actual-parent mode-2 sampler-prefix semantics and certificate-conditioned totality,N/A,easycrypt/spec/KeygenMode2ParentSpec.ec;easycrypt/refinement/TargetKeygenMode2Parent.ec;easycrypt/refinement/TargetKeygenMode2ParentComposition.ec,easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:2539-2550;keypair.jazz:1160-1173,VERIFIED,scripts/verify-keygen-mode2-parent-proof.sh,Seven cross-module equivalences qualify parent procedures; the authored observer composes exact seed expansion six matrix calls two vector calls and five first-attempt eta calls with partial correctness and probability-one termination under 13 explicit deterministic finite-progress certificates; the newer proof-only M23 prefix composes it through the actual _kp_m23_matrix while actual _keypair_full_m23 outer retry and downstream semantics remain open
KEYGEN-M2-M23-STRUCTURE,Actual mode-2 _kp_m23_matrix copy footprint and active-prefix scratch independence,N/A,easycrypt/spec/KeygenM23MatrixSpec.ec;easycrypt/refinement/TargetKeygenM23Matrix.ec,easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:888-1069;easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:2445-2482;poly.jinc:127-279;poly.jinc:1108-1165;keypair.jazz:1023-1075,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh,The dedicated gate retains exact 768-word copy equality plus destination tail frame and makes the returned 512-word bp and 768-word s1hatp prefixes independent of incoming scratch for equal ap and s1p with rows two and cols three; complete helper arithmetic and totality are verified by the companion M23 arithmetic claim
KEYGEN-M2-M23-ARITHMETIC,Actual mode-2 _kp_m23_matrix algebraic semantics and probability-one termination,N/A,easycrypt/spec/KeygenM23ArithmeticSpec.ec;easycrypt/refinement/TargetKeygenM23WideSupport.ec;easycrypt/refinement/TargetKeygenM23WideNTT.ec;easycrypt/refinement/TargetKeygenM23Pointwise.ec;easycrypt/refinement/TargetKeygenM23WideInvNTT.ec;easycrypt/refinement/TargetKeygenM23Arithmetic.ec;easycrypt/refinement/TargetKeygenM23Matrix.ec,easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:888-1069;easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:2445-2482;poly.jinc:127-279;poly.jinc:1108-1165;keypair.jazz:1023-1075,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh,kp_m23_matrix_mode2_arithmetic_correct composes the exact copy three bound-16-to-24 forward NTTs two exact three-term Montgomery rows at bound 18 and two bound-18-to-16 inverse NTTs with 512-word and 768-word tail frames; kp_m23_matrix_mode2_ll proves fixed-mode totality and exact word-level finalization is verified by the companion finalizer claim while retry packing pointer safety and full key generation remain open
KEYGEN-M2-M23-FINALIZE,Actual mode-2 _keypair_finalize_m23 exact word canonical-residue and HAETAE coefficient semantics with probability-one termination,N/A,easycrypt/spec/KeygenM23FinalizeSpec.ec;easycrypt/spec/KeygenM23FinalizeSemantics.ec;easycrypt/spec/KeygenM23FinalizeArraySemantics.ec;easycrypt/spec/KeygenM23FinalizeHAETAEBridge.ec;easycrypt/refinement/TargetKeygenM23Finalize.ec;easycrypt/refinement/TargetKeygenM23FinalizeSemanticComposition.ec,easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:1465-1498;reduce.jinc:49-77;sign.jinc:957-996;keypair.jazz:1179-1193,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh,The exact extracted W32 and W64 sequence is retained; freeze_word_semantics proves canonical modulo-64513 reduction on signed 18-bit inputs and the reachable 512-word observer theorem derives those inputs from verified M23 and sampler ranges then proves abstract HAETAE high/low and adjusted-s2 coefficient equations plus both tail frames; helper totality remains verified while whole-keygen multiplication retry packing and pointer-safety bridges remain open
KEYGEN-M2-PARENT-M23-PREFIX,Proof-only actual-parent sampler plus M23 arithmetic prefix semantics and certificate-conditioned totality,N/A,easycrypt/spec/KeygenMode2ParentSpec.ec;easycrypt/spec/KeygenM23ArithmeticSpec.ec;easycrypt/refinement/TargetKeygenMode2ParentComposition.ec;easycrypt/refinement/TargetKeygenM23Arithmetic.ec;easycrypt/refinement/TargetKeygenM23ParentComposition.ec,keypair.jazz:1023-1075;keypair.jazz:1123-1215,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh,CheckedMode2ParentM23Prefix.run composes the checked actual-parent sampler observer with the actual fixed-mode _kp_m23_matrix and exports exact sampled-input arithmetic outputs and frames plus probability-one termination under mode2_sampler_prefix_progress; the companion finalizing observer extends this proof-only prefix through exact word-level finalization but neither observer is _keypair_full_m23
KEYGEN-M2-PARENT-M23-FINALIZE-PREFIX,Proof-only actual-parent sampler plus M23 plus canonical HAETAE coefficient finalizer semantics and certificate-conditioned totality,N/A,easycrypt/spec/KeygenMode2ParentSpec.ec;easycrypt/spec/KeygenM23ArithmeticSpec.ec;easycrypt/spec/KeygenM23FinalizeSpec.ec;easycrypt/spec/KeygenM23FinalizeSemantics.ec;easycrypt/spec/KeygenM23FinalizeArraySemantics.ec;easycrypt/spec/KeygenM23FinalizeHAETAEBridge.ec;easycrypt/refinement/TargetKeygenMode2ParentComposition.ec;easycrypt/refinement/TargetKeygenM23Arithmetic.ec;easycrypt/refinement/TargetKeygenM23Finalize.ec;easycrypt/refinement/TargetKeygenM23FinalizeComposition.ec;easycrypt/refinement/TargetKeygenM23FinalizeSemanticComposition.ec,reduce.jinc:49-77;sign.jinc:957-996;keypair.jazz:1023-1075;keypair.jazz:1123-1215,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh,CheckedMode2ParentM23Finalize.run composes the checked sampler observer with the actual fixed-mode _kp_m23_matrix and actual _keypair_finalize_m23; the strengthened Hoare theorem preserves sampler M23 and exact-word facts and derives the reachable 512-word canonical residue plus abstract HAETAE high/low and adjusted-s2 equations while pHoare remains one under mode2_sampler_prefix_progress; this is still a proof-only observer rather than actual _keypair_full_m23
KEYGEN-M2-FULL-M23-FIRST-ATTEMPT,Actual fixed-mode _keypair_full_m23 packed-output equivalence and first-attempt trace semantics,N/A,easycrypt/refinement/TargetKeygenM23FullFirstAttempt.ec,easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:2483-2588;keypair.jazz:1123-1215,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh,mode2_full_first_attempt_equiv proves equality of the eventual packed arrays with a result-carried mirror that peels the unconditional first iteration and retains the residual loop and packing calls; the mirror trace has exact sampler M23 word-finalizer canonical HAETAE counter singular-word evaluator bound reject and unsigned guard facts including accepted iff the score unsigned value is at most 611098 but does not prove first acceptance outer-loop termination analytic singular or FFT meaning retry-attempt semantics packing correctness pointer safety distributions public API refinement or security composition
KEYGEN-M2-SINGULAR-WORD,Actual mode-2 _singular_full exact machine-word semantics and probability-one termination,N/A,easycrypt/spec/KeygenM23SingularSpec.ec;easycrypt/spec/KeygenM23SingularFFTSpec.ec;easycrypt/refinement/TargetKeygenM23SingularHelpers.ec;easycrypt/refinement/TargetKeygenM23SingularTotality.ec;easycrypt/refinement/TargetKeygenM23SingularFFT.ec;easycrypt/refinement/TargetKeygenM23Singular.ec,easycrypt/extract/keygen-mode2-parent/KeygenMode2ParentTarget.ec:1408-1811;fft.jinc:1-118;fft_pipeline.jinc:1-58;sign.jinc:605-667;singular_values.jinc:1-163;keypair.jazz:1195-1206,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh,The exact W32 and W64 evaluator follows bit-reversal initialization eight FFT stages threaded scratch across three s1 and two adjusted-s2 slices rounded squared-magnitude accumulation five-entry finish logic sign extension and the unsigned 611098 guard; fixed-call totality is proved but real or complex DFT semantics numerical error and range or nonoverflow bounds identity with the intended singular-value quantity first-attempt acceptance and outer-retry termination remain open
