theorem,file,theorem_line,premise_ordinal,premise_line,premise_meaning,classification,current_status,linked_id,discharge_lemma,closure_criterion
euf_cma_security_with_hop_interfaces,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,188,2,190,EUF-CMA success is bounded by NMA success plus Fiat-Shamir-with-aborts losses,structural correspondence obligation,OPEN,MODEL-ROM;GAP-CHALLENGE;GAP-TOP-LEVEL,-,Prove the paper-faithful signing simulation and ROM reprogramming hop with concrete query and entropy bounds
euf_cma_security_with_hop_interfaces,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,188,3,194,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_with_hop_interfaces,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,188,4,197,Bimodal self-target MSIS success is bounded by Module-SIS success plus reduction loss,structural correspondence obligation,OPEN,CRYPTO-MSIS;GAP-MSIS,-,Prove the exact distributional lift and norm-preserving relation to the HAETAE Module-SIS game
euf_cma_security_with_hop_interfaces,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,188,5,200,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_with_hop_interfaces,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,188,6,201,Module-SIS game success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS,-,Instantiate the exact HAETAE Module-SIS game and parameters while retaining its advantage term
euf_cma_security_from_simulated_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,223,1,224,The structural Fiat-Shamir-with-aborts interfaces are ready for the selected mode,checked derived premise,CHECKED_STRUCTURAL,GAP-FORKING,fs_with_aborts_interfaces_ready_holds,Replace the structural extractor interfaces with the exact paper relation before treating this as paper-faithful
euf_cma_security_from_simulated_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,223,2,225,Simulated-signing EUF-CMA success is bounded by NMA success plus Fiat-Shamir-with-aborts losses,structural correspondence obligation,OPEN,MODEL-ROM;GAP-SIGNING;GAP-TOP-LEVEL,-,Prove the adversary-level simulated-signing and forking hop for the exact HAETAE signing distribution
euf_cma_security_from_simulated_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,223,3,230,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_from_simulated_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,223,4,233,Bimodal self-target MSIS success is bounded by Module-SIS success plus reduction loss,structural correspondence obligation,OPEN,CRYPTO-MSIS;GAP-MSIS,-,Prove the exact distributional lift and norm-preserving relation to the HAETAE Module-SIS game
euf_cma_security_from_simulated_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,223,5,236,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_simulated_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,223,6,237,Module-SIS game success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS,-,Instantiate the exact HAETAE Module-SIS game and parameters while retaining its advantage term
euf_cma_security_from_explicit_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,278,1,279,Simulated-signing EUF-CMA success is bounded by NMA success plus Fiat-Shamir-with-aborts losses,structural correspondence obligation,OPEN,MODEL-ROM;GAP-SIGNING;GAP-TOP-LEVEL,-,Prove the adversary-level simulated-signing and forking hop for the exact HAETAE signing distribution
euf_cma_security_from_explicit_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,278,2,284,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_from_explicit_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,278,3,287,Bimodal self-target MSIS success is bounded by Module-SIS success plus reduction loss,structural correspondence obligation,OPEN,CRYPTO-MSIS;GAP-MSIS,-,Prove the exact distributional lift and norm-preserving relation to the HAETAE Module-SIS game
euf_cma_security_from_explicit_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,278,4,290,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_explicit_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,278,5,291,Module-SIS game success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS,-,Instantiate the exact HAETAE Module-SIS game and parameters while retaining its advantage term
euf_cma_security_from_rom_internal_transcript_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,319,1,320,ROM-internal-transcript EUF success is bounded by NMA success plus Fiat-Shamir-with-aborts losses,structural correspondence obligation,OPEN,MODEL-ROM;GAP-ROM-DOMAINS;GAP-TOP-LEVEL,rom_internal_transcript_hop_from_clear_site_reduction (conditional),Prove the clear-site reduction and exact domain-separated transcript encoding for the paper ROM
euf_cma_security_from_rom_internal_transcript_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,319,2,324,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_from_rom_internal_transcript_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,319,3,327,Bimodal self-target MSIS success is bounded by Module-SIS success plus reduction loss,structural correspondence obligation,OPEN,CRYPTO-MSIS;GAP-MSIS,-,Prove the exact distributional lift and norm-preserving relation to the HAETAE Module-SIS game
euf_cma_security_from_rom_internal_transcript_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,319,4,330,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_rom_internal_transcript_hop,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,319,5,331,Module-SIS game success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS,-,Instantiate the exact HAETAE Module-SIS game and parameters while retaining its advantage term
euf_cma_security_from_mechanized_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,434,1,435,Simulated-signing EUF-CMA success is bounded by NMA success plus Fiat-Shamir-with-aborts losses,structural correspondence obligation,OPEN,MODEL-ROM;GAP-SIGNING;GAP-TOP-LEVEL,-,Prove the adversary-level simulated-signing and forking hop for the exact HAETAE signing distribution
euf_cma_security_from_mechanized_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,434,2,440,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_from_mechanized_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,434,3,443,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_mechanized_boundaries,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,434,4,444,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_rom_transcript_and_mechanized_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,473,1,474,ROM-internal-transcript EUF success is bounded by NMA success plus Fiat-Shamir-with-aborts losses,structural correspondence obligation,OPEN,MODEL-ROM;GAP-ROM-DOMAINS;GAP-TOP-LEVEL,rom_internal_transcript_hop_from_clear_site_reduction (conditional),Prove the clear-site reduction and exact domain-separated transcript encoding for the paper ROM
euf_cma_security_from_rom_transcript_and_mechanized_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,473,2,478,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_from_rom_transcript_and_mechanized_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,473,3,481,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_rom_transcript_and_mechanized_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,473,4,482,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_rom_transcript_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,496,1,497,ROM-internal-transcript EUF success is bounded by NMA success plus the counted ROM programming loss,structural correspondence obligation,OPEN,MODEL-ROM;GAP-ROM-DOMAINS;GAP-CHALLENGE,rom_internal_transcript_hop_from_clear_site_counted_reduction (conditional),Prove the clear-site reduction with exact query counts and challenge-site entropy for the paper encoding
euf_cma_security_from_rom_transcript_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,496,2,500,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_from_rom_transcript_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,496,3,503,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_rom_transcript_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,496,4,504,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_rom_clear_site_and_mechanized_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,547,1,548,ROM forgery success at clear programming sites is bounded by NMA success,structural correspondence obligation,OPEN,MODEL-ROM;GAP-ROM-DOMAINS,rom_internal_transcript_clear_site_structural_nma_bound (for the constructed NMA),Instantiate the constructed NMA and prove the exact paper transcript and programming-site relation
euf_cma_security_from_rom_clear_site_and_mechanized_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,547,2,553,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_from_rom_clear_site_and_mechanized_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,547,3,556,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_rom_clear_site_and_mechanized_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,547,4,557,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_rom_clear_site_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,571,1,572,ROM forgery success at clear programming sites is bounded by NMA success,structural correspondence obligation,OPEN,MODEL-ROM;GAP-ROM-DOMAINS,rom_internal_transcript_clear_site_structural_nma_bound (for the constructed NMA),Instantiate the constructed NMA and prove the exact paper transcript and programming-site relation
euf_cma_security_from_rom_clear_site_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,571,2,577,NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING,-,Construct the paper-faithful NMA reduction and prove this game inequality
euf_cma_security_from_rom_clear_site_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,571,3,580,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_rom_clear_site_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,571,4,581,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_structural_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,633,1,634,The constructed structural NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-TOP-LEVEL,-,Replace the structural NMA with the paper simulator and prove the exact reduction to HAETAE hardness games
euf_cma_security_from_structural_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,633,2,638,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_structural_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,633,3,639,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_public_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,653,1,654,The public-simulator NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-SIGNING;GAP-FORKING;GAP-TOP-LEVEL,-,Replace the structural public simulator with the paper signing simulator and prove the reduction
euf_cma_security_from_public_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,653,2,658,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_public_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,653,3,659,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,673,1,674,Public-simulator NMA success is bounded by paper-sampler NMA success plus rejection loss,structural correspondence obligation,OPEN,GAP-REJECTION;GAP-SIGNING,public_sim_to_paper_sim_nma_hop_from_sampling_hop (conditional),Prove the public simulator to exact paper sampler statistical hop with non-vacuous rejection loss
euf_cma_security_from_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,673,2,679,Paper-sampler NMA success plus rejection loss is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the paper-faithful NMA reduction from the exact accepted signing distribution
euf_cma_security_from_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,673,3,684,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,673,4,685,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_rom_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,704,1,705,ROM-backed paper-sampler NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,MODEL-ROM;GAP-FORKING;GAP-REJECTION,-,Prove the exact ROM-backed paper sampler reduction with domain-separated encodings
euf_cma_security_from_rom_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,704,2,710,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_rom_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,704,3,711,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_real_signing_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,725,1,726,Real-signing paper-sampler NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-SIGNING;GAP-FORKING,-,Prove the NMA reduction from the exact real HAETAE accepted signing distribution
euf_cma_security_from_real_signing_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,725,2,731,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_real_signing_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,725,3,732,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_haetae_rejection_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,746,1,747,Named HAETAE-rejection-sampler NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-REJECTION;GAP-FORKING,-,Replace the structural rejection constructor with the exact accepted-loop distribution and prove the reduction
euf_cma_security_from_haetae_rejection_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,746,2,752,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_haetae_rejection_paper_sim_nma_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,746,3,753,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_exact_hyperball_paper_sim_bridge_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,974,1,975,HAETAE-rejection NMA success is bounded by exact-hyperball rejection NMA success without an added loss,structural correspondence obligation,OPEN,GAP-REJECTION,-,Prove an exact bridge or state and prove the required nonzero statistical loss for the paper sampler
euf_cma_security_from_exact_hyperball_paper_sim_bridge_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,974,2,982,Exact-hyperball paper-sampler NMA success is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the hardness reduction from the exact hyperball signing law
euf_cma_security_from_exact_hyperball_paper_sim_bridge_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,974,3,987,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_exact_hyperball_paper_sim_bridge_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,974,4,988,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_exact_hyperball_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1007,1,1008,HAETAE-rejection NMA success is bounded by exact-hyperball rejection NMA success plus rejection loss,structural correspondence obligation,OPEN,GAP-REJECTION,haetae_rejection_exact_hyperball_sampling_hop_from_real_signing_exact_hyperball_hop (conditional),Prove the real-signing to exact-hyperball statistical hop for the exact HAETAE sampler
euf_cma_security_from_exact_hyperball_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1007,2,1015,Exact-hyperball paper-sampler NMA success plus rejection loss is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the hardness reduction from the exact hyperball accepted-signing law
euf_cma_security_from_exact_hyperball_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1007,3,1021,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_exact_hyperball_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1007,4,1022,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_ro_exact_hyperball_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1036,1,1037,Real-signing NMA success is bounded by RO exact-hyperball NMA success plus rejection loss,checked derived premise,CHECKED_COARSE,GAP-REJECTION,real_signing_ro_exact_hyperball_hop_checked_from_loss_budget,Replace the coarse loss-at-least-one proof with the exact non-vacuous sampler and lazy-ROM statistical bound
euf_cma_security_from_ro_exact_hyperball_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1036,2,1044,RO exact-hyperball NMA success plus rejection loss is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the hardness reduction from the exact RO hyperball accepted-signing law
euf_cma_security_from_ro_exact_hyperball_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1036,3,1050,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_ro_exact_hyperball_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1036,4,1051,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_ro_signing_attempt_to_ro_exact_hyperball_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1072,1,1073,RO signing-attempt NMA success is bounded by RO exact-hyperball NMA success plus rejection loss,checked derived premise,CHECKED_COARSE,GAP-REJECTION,rom_internal_nma_ro_signing_attempt_ro_exact_hyperball_loss_bound,Replace the coarse loss-at-least-one bound with a non-vacuous lazy-ROM lift of the exact per-call sampling law
euf_cma_security_from_ro_signing_attempt_to_ro_exact_hyperball_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1072,2,1080,RO exact-hyperball NMA success plus rejection loss is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the hardness reduction from the exact RO hyperball accepted-signing law
euf_cma_security_from_ro_signing_attempt_to_ro_exact_hyperball_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1072,3,1086,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
